Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz GLE-Class 2019;Mercedes-AMG GLE Coupe 63 S AT (585 л.с.) 4Matic;127 258 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1803995.html;Бензин
Mercedes-Benz AMG GT 2019;GT AT (462 л.с.);143 160 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804006.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S 63 AT (612 л.с.) 4Matic Long;155 680 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1803999.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63s AT (510 л.с.);83 144 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1803975.html;Бензин
Mercedes-Benz AMG GT 2019;base Mercedes-AMG GT C AT (557 л.с.);189 086 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804012.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63 AT (476 л.с.);75 716 $;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1821550.html;Бензин
Mercedes-Benz C-Class 2019;Individual C 200 AT (184 л.с.) 4Matic;49 386 $;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1814029.html;Бензин
Mercedes-Benz SLC-Class 2018;Individual Mercedes-AMG SLC 43 AT (367 л.с.);48 635 $;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-mercedes-benz-slc-class-1822163.html;Бензин
Mercedes-Benz Vito пасс. 2020;Individual 110 CDI MT (102 л.с.) Tourer Long;38 129 $;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-mercedes-benz-vito-pass-1833614.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 450 G-tronic (367 л.с.) 4Matic;66 405 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670045.html;Бензин
Mercedes-Benz GLE-Class 2019;Coupe AMG 63S 9G-TCT (612 л.с.) 4Matic;133 272 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1833782.html;Бензин/Электричество
Mercedes-Benz CLS-Class 2019;220d G-Tronic (194 л.с.);64 608 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1826336.html;Дизтопливо
Mercedes-Benz C-Class 2019;base 180 G-Tronic (156 л.с.);34 987 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669783.html;Бензин
Mercedes-Benz E-Class 2019;New E 220d АТ (194 л.с.) 4Matic;55 138 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670041.html;Дизтопливо
Mercedes-Benz GLC-Class 2019;300e AT (320 л.с.) 4Matic;54 504 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1826385.html;Бензин/Электричество
Mercedes-Benz E-Class 2019;New E 400d AT (340 л.с.) 4Matic;66 355 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1738725.html;Дизтопливо
