Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz C-Class 2019;base Mercedes-AMG C43 AT (390 л.с.) 4Matic;63 626 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669817.html;Бензин
Mercedes-Benz C-Class 2019;base 220d G-Tronic (194 л.с.) 4Matic;47 457 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1787019.html;Дизтопливо
Mercedes-Benz E-Class 2019;base 300 AT (258 л.с.);51 381 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1830567.html;Бензин
Mercedes-Benz G-Class 2020;AMG 63 G-Ttonic (575 л.с.) 4Matic;974 853 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1831769.html;Бензин
Mercedes-Benz C-Class 2019;base 180d MТ (122 л.с.);33 049 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669877.html;Дизтопливо
Mercedes-Benz E-Class 2019;base 300 dE AT (194 л.с.);51 663 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1830568.html;Дизтопливо/Электричество
Mercedes-Benz E-Class 2019;New E 350 АТ (299 л.с.);61 798 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1711372.html;Бензин
Mercedes-Benz AMG GT 2019;GT S AT (510 л.с.);160 463 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1549994.html;Бензин
Mercedes-Benz S-Class 2019;S 560 AT (469 л.с.) 4Matic;111 853 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1693534.html;Бензин
Mercedes-Benz G-Class 2020;Brabus G800 G-Ttonic (800 л.с.) 4Matic;346 613 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1817169.html;Бензин
Mercedes-Benz S-Class 2019;S 500 G-Tronic (435 л.с.);101 391 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1811389.html;Бензин
Mercedes-Benz C-Class 2019;base 200d MT (160 л.с.);35 387 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1555680.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 300d AT (245 л.с.);49 108 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1611686.html;Дизтопливо
Mercedes-Benz B-Class 2019;200 AT (163 л.с.);33 515 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-b-class-1669751.html;Бензин
Mercedes-Benz E-Class 2019;All-Terrain 400d 9G-Tronic (340 л.с.) 4Matic;64 684 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1836619.html;Дизтопливо
Mercedes-Benz C-Class 2019;base 300d G-Tronic (245 л.с.);47 976 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1787020.html;Дизтопливо
Mercedes-Benz A-Class 2019;base 180 MT (136 л.с.);32 027 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1787001.html;Бензин
Mercedes-Benz C-Class 2019;300e G-Tronic (211 л.с.);43 341 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1821759.html;Бензин
Mercedes-Benz S-Class 2019;S 400d AT (340 л.с.) 4Matic;93 701 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1693533.html;Дизтопливо
Mercedes-Benz A-Class 2019;base 220d AT (190 л.с.);41 150 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1808691.html;Дизтопливо
Mercedes-Benz E-Class 2019;New Mercedes-AMG E 63 (571 л.с.) 4Matic+;101 021 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1785539.html;Бензин
Mercedes-Benz GLE-Class 2019;450 AT (367 л.с.) 4Matic;68 147 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1670072.html;Бензин
Mercedes-Benz A-Class 2019;250e AT (160 л.с.);41 263 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1787006.html;Бензин/Электричество
Mercedes-Benz S-Class 2019;S 560 G-Tronic (469 л.с.);145 305 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1670121.html;Бензин
Mercedes-Benz E-Class 2019;E 220d АТ (194 л.с.) 4Matic;50 983 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670033.html;Дизтопливо
Mercedes-Benz CLS-Class 2019;450 G-Tronic (367+22 л.с.) 4Matic  EQ-Boost;78 644 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1785551.html;Бензин/Электричество
Mercedes-Benz A-Class 2019;base 180 MT (136 л.с.);32 027 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1785491.html;Бензин
Mercedes-Benz C-Class 2019;base 300 G-Tronic (258 л.с.) 4Matic;43 021 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1821761.html;Бензин
